;CNTR_ID;1979;1981;1984;1987;1989;1994;1995;1996;1999;2004;2007;2009;2014_25-05-14_21-38-CEST;2014_25-05-14_23-58-CEST
Belgium BE;BE;91,36;;92,09;;90,73;90,66;;;91,05;90,81;;90,39;90;90
Denmark DK;DK;47,82;;52,38;;46,17;52,92;;;50,46;47,89;;59,54;55;56,4
Germany DE;DE;65,73;;56,76;;62,28;60,02;;;45,19;43;;43,3;47,9;47,9
Ireland IE;IE;63,61;;47,56;;68,28;43,98;;;50,21;58,58;;58,64;51,2;51,6
France FR;FR;60,71;;56,72;;48,8;52,71;;;46,76;42,76;;40,63;43,5;43,5
Italy IT;IT;85,65;;82,47;;81,07;73,6;;;69,76;71,72;;65,05;60;60
Luxembourg LU;LU;88,91;;88,79;;87,39;88,55;;;87,27;91,35;;90,75;90;90
Netherlands NL;NL;58,12;;50,88;;47,48;35,69;;;30,02;39,26;;36,75;37;37
United Kingdom UK;UK;32,35;;32,57;;36,37;36,43;;;24;38,52;;34,7;36;36
Greece EL;EL;;81,48;80,59;;80,03;73,18;;;70,25;63,22;;52,61;57,35;58,2
Spain ES;ES;;;;68,52;54,71;59,14;;;63,05;45,14;;44,9;44,7;45,9
Portugal PT;PT;;;;72,42;51,1;35,54;;;39,93;38,6;;36,78;34,5;34,5
Sweden SE;SE;;;;;;;41,63;;38,84;37,85;;45,53;51;48,8
Austria AT;AT;;;;;;;;67,73;49,4;42,43;;45,97;45;45,7
Finland FI;FI;;;;;;;;57,6;30,14;39,43;;40,3;40,9;40,9
Czech Republic CZ;CZ;;;;;;;;;;28,3;;28,2;19,5;19,5
Estonia EE;EE;;;;;;;;;;26,83;;43,9;36,44;36,44
Cyprus CY;CY;;;;;;;;;;72,5;;59,4;42,37;43,97
Lithuania LT;LT;;;;;;;;;;48,38;;20,98;37,27;44,91
Latvia LV;LV;;;;;;;;;;41,34;;53,7;30,04;30,04
Hungary HU;HU;;;;;;;;;;38,5;;36,31;29,2;28,92
Malta MT;MT;;;;;;;;;;82,39;;78,79;74,81;74,81
Poland PL;PL;;;;;;;;;;20,87;;24,53;22,7;22,7
Slovenia SI;SI;;;;;;;;;;28,35;;28,33;20,96;20,96
Slovakia SK;SK;;;;;;;;;;16,97;;19,64;13;13
Bulgaria BG;BG;;;;;;;;;;;29,22;38,99;40,2;35,5
Romania RO;RO;;;;;;;;;;;29,47;27,67;34,7;32,16
Croatia HR;HR;;;;;;;;;;;;20,84;24,3;25,06
European Union Total EU;EU;61,99;;58,98;;58,41;56,67;;;49,51;45,47;;43;43,11;43,09
